Timestamp	Latin name of a given species	Sequence name (from NCBI or other sources)	Sequence Accession Number from NCBI	Type of a given sequence	GO - Molecular Function (from Uniprot)	GO - Biological process (from Uniprot)	Special Note	Sequence Accession Number from other source	Choose alternative Source of Sequence Accession Number	Who typed in the data	
6/10/2015 14:58:10	Aedes albopictus	cytidine deaminase, putative		mRNA	cytidine deaminase activity; zinc ion binding	cytidine deamination	Similar to Aedes aegypti, UniProt identifier: XM_001651966	AAEL006518	Vector Base		
6/10/2015 12:18:19	Aedes albopictus	cytochrome c oxidase, subunit VIA, putative		mRNA	cytochrome-c oxidase activity	hydrogen ion transmembrane transport	Similar to Aedes aegypti, UniProt identifier: XM_001656578	AAEL003234	Vector Base		
6/10/2015 15:09:01	Aedes albopictus	DEAD box ATP-dependent RNA helicase		mRNA	ATP binding; helicase activity; nucleic acid binding	metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001650077	AAEL004978	Vector Base		
6/10/2015 11:41:55	Aedes albopictus	ecdysone inducible protein L2, putative		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001654666	AAEL002130	Vector Base		
4/26/2015 17:33:16	Aedes albopictus	epithelial membrane protein mRNA	GU175173	mRNA	NaN	cell adhesion	GO - Cellular component - integral component of membrane				
6/13/2015 10:54:59	Aedes albopictus	Fatty acid binding protein	JO853034	mRNA	NaN	NaN					
6/10/2015 12:14:30	Aedes albopictus	fatty acid desaturase, putative		mRNA	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	fatty acid biosynthetic process	Similar to Aedes aegypti, UniProt identifier: XM_001656495	AAEL003203	Vector Base		
4/26/2015 18:07:53	Aedes albopictus	fatty acyl coA elongase	GT565069	EST	NaN	NaN	Sličnost - 3.00e36, Aedes aegypti, DQ439986				
6/10/2015 12:07:54	Aedes albopictus	fatty acyl CoA elongase mRNA	GQ168593	mRNA	transferase activity	fatty acid biosynthetic process					
6/11/2015 15:44:47	Aedes albopictus	gene containing a JH binding protein domain		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001656926	AAEL000500	Vector Base		
6/10/2015 13:07:43	Aedes albopictus	geranylgeranyl pyrophosphate synthase		mRNA	transferase activity	isoprenoid biosynthetic process	Similar to Aedes aegypti, UniProt identifier: XM_001651638	AAEL005925	Vector Base		
6/10/2015 14:42:36	Aedes albopictus	glycoprotein, putative		mRNA	chitinase activity; hydrolase activity, hydrolyzing O-glycosyl compounds	carbohydrate metabolic process; chitin catabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001663121	AAEL003094	Vector Base		
6/10/2015 11:35:59	Aedes albopictus	GPCR Methuselah Family		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001661676	AAEL011521	Vector Base		
4/26/2015 18:10:00	Aedes albopictus	heat shock protein 67B2	GT564856	EST	NaN	NaN	Sličnost - 9.00e45, Aedes aegypti				
6/10/2015 12:30:39	Aedes albopictus	histone H2A		mRNA	DNA binding; protein heterodimerization activity	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001656938	AAEL000494	Vector Base		
6/11/2015 16:39:37	Aedes albopictus	homolog of a putative cecropin anti-microbial peptide (CECB)		mRNA	NaN	defense response to bacterium; immune system process; innate immune response	Similar to Aedes aegypti, UniProt identifier: XM_001648640	AAEL004223	Vector Base		
6/11/2015 15:52:17	Aedes albopictus	homolog of glyceraldehyde 3 phosphate dehydrogenase		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_011494724	AAEL016984	Vector Base		
6/11/2015 16:44:56	Aedes albopictus	homolog of gram-negative binding protein 3 (GNBPB3)		mRNA	hydrolase activity, hydrolyzing O-glycosyl compounds; transporter activity	carbohydrate metabolic process; transport	Similar to Aedes aegypti, UniProt identifier: XM_001659746	AAEL009176	Vector Base		
6/11/2015 16:48:20	Aedes albopictus	homolog of gram-negative binding protein 4 (GNBPB4)		mRNA	hydrolase activity, hydrolyzing O-glycosyl compounds	carbohydrate metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001659747	AAEL009178	Vector Base		
6/10/2015 11:28:24	Aedes albopictus	inhibitor of growth protein, ing1		mRNA	zinc ion binding	chromatin modification	Similar to Aedes aegypti, UniProt identifier: XM_001657050	AAEL003650	Vector Base		
6/13/2015 11:37:50	Aedes albopictus	Isovaleryl-CoA dehydrogenase	JO891909	mRNA	NaN	NaN					
6/13/2015 11:00:07	Aedes albopictus	Lipase_AAEL001057		mRNA	carboxylic ester hydrolase activity	metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001657977	AAEL001057	Vector Base		
6/13/2015 11:03:35	Aedes albopictus	Lipase_AAEL007044		mRNA	phosphatidylcholine 1-acylhydrolase activity; carboxylic ester hydrolase activity	lipid metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001652478	AAEL007044	Vector Base		
6/13/2015 11:06:10	Aedes albopictus	Lipase_AAEL012343		mRNA	hydrolase activity, acting on ester bonds	lipid catabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001662447	AAEL012343	Vector Base		
6/13/2015 10:53:55	Aedes albopictus	Lipid storage droplet protein	JO907205	mRNA	NaN	NaN					
6/10/2015 13:28:27	Aedes albopictus	lipid storage droplets surface binding protein 2 (lsd2)		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001658008	AAEL006820	Vector Base		
6/10/2015 12:36:34	Aedes albopictus	mfs transporter		mRNA	transmembrane transporter activity	transmembrane transport	Similar to Aedes aegypti, UniProt identifier: XM_001662241	AAEL012183	Vector Base		
6/11/2015 15:42:02	Aedes albopictus	ortholog of juvenile hormone esterase (JHE)		mRNA	hydrolase activity	metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001650430	AAEL005200	Vector Base		
4/26/2015 17:36:43	Aedes albopictus	phosphatidylethanolamine-binding protein mRNA	GU175172	mRNA	NaN	NaN					
6/10/2015 11:40:02	Aedes albopictus	phosphoenolpyruvate carboxykinase		mRNA	GTP binding; phosphoenolpyruvate carboxykinase (GTP) activity	gluconeogenesis	Similar to Aedes aegypti, UniProt identifier: XM_001647885	AAEL000006	Vector Base		
6/11/2015 15:49:32	Aedes albopictus	phosphoenolpyruvate carboxykinase		mRNA	GTP binding; phosphoenolpyruvate carboxykinase (GTP) activity	gluconeogenesis	Similar to Aedes aegypti, UniProt identifier: XM_001647887	AAEL000080	Vector Base		
6/10/2015 14:56:02	Aedes albopictus	predicted protein, chromodomain-containing		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001649238	AAEL004484	Vector Base		
6/10/2015 15:16:53	Aedes albopictus	profilin		mRNA	actin binding	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001656622	AAEL013353	Vector Base		
6/10/2015 14:32:35	Aedes albopictus	proliferating cell nuclear antigen		mRNA	DNA binding; DNA polymerase processivity factor activity	DNA replication; regulation of DNA replication	Similar to Aedes aegypti, UniProt identifier: XM_001662594	AAEL012545	Vector Base		
6/10/2015 15:14:13	Aedes albopictus	protein disulfide isomerase		mRNA	protein disulfide isomerase activity	cell redox homeostasis; protein folding	Similar to Aedes aegypti, UniProt identifier: XM_001649724	AAEL000641	Vector Base		
6/10/2015 11:55:07	Aedes albopictus	putative 67B2 family heat shock protein mRNA	GQ332399	mRNA	NaN	Stress response					
6/11/2015 15:38:43	Aedes albopictus	putative JH-inducible protein		mRNA	transferase activity, transferring phosphorus-containing groups	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001656146	AAEL012680	Vector Base		
6/11/2015 16:12:12	Aedes albopictus	pyruvate kinase		mRNA	magnesium ion binding; potassium ion binding; pyruvate kinase activity	glycolytic process; phosphorylation	Similar to Aedes aegypti, UniProt identifier: XM_001649933	AAEL014913	Vector Base		
6/11/2015 10:32:31	Aedes albopictus	questionable odorant-binding protein 99a	GT564795	EST	NaN	NaN	Sličnost - 2.00e11, Armigeres subalbatus, EU207435				
6/10/2015 11:33:58	Aedes albopictus	receptor for activated C kinase, putative		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001661968	AAEL011892	Vector Base		
6/10/2015 12:27:18	Aedes albopictus	rer1 protein		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: XM_001654428	AAEL010361	Vector Base		
6/10/2015 12:23:02	Aedes albopictus	RuvB-like helicase 2 (EC 3.6.4.12)(Reptin)		mRNA	ATP binding; ATP-dependent 5'-3' DNA helicase activity; transcription corepressor activity	DNA repair; histone acetylation; histone exchange; negative regulation of nucleic acid-templated transcription; regulation of cell proliferation; regulation of transcription, DNA-templated; regulation of Wnt signaling pathway; transcription, DNA-templated	Similar to Aedes aegypti, UniProt identifier: XM_001654402	AAEL010341	Vector Base		
6/10/2015 12:09:39	Aedes albopictus	saposin		mRNA	NaN	sphingolipid metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001662944	AAEL003046	Vector Base		
6/10/2015 15:11:48	Aedes albopictus	skp1		mRNA	NaN	ubiquitin-dependent protein catabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001653651	AAEL009160	Vector Base		
6/10/2015 14:54:07	Aedes albopictus	thioredoxin peroxidase		mRNA	peroxiredoxin activity; antioxidant activity; oxidoreductase activity	oxidation-reduction process	Similar to Aedes aegypti, UniProt identifier: XM_001648402	AAEL004112	Vector Base		
6/10/2015 14:40:10	Aedes albopictus	transcription factor GATA-4 (GATA binding factor-4)		mRNA	sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity; transcription regulatory region DNA binding; zinc ion binding	positive regulation of transcription from RNA polymerase II promoter	Similar to Aedes aegypti, UniProt identifier: XM_001654325	AAEL010222	Vector Base		
6/10/2015 14:59:48	Aedes albopictus	transketolase		mRNA	catalytic activity	metabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001649091	AAEL004434	Vector Base		
6/10/2015 13:35:33	Aedes albopictus	trehalose-6-phosphate synthase		mRNA	catalytic activity	trehalose biosynthetic process	Similar to Aedes aegypti, UniProt identifier: XM_001657763	AAEL006446	Vector Base		
6/10/2015 13:24:43	Aedes albopictus	Trypsin 3A1 Precursor (EC 3.4.21.4)		mRNA	serine-type endopeptidase activity; hydrolase activity	digestion; proteolysis	Similar to Aedes aegypti, UniProt identifier: XM_001652894	AAEL007818	Vector Base		
6/10/2015 15:01:56	Aedes albopictus	ubiquitin		mRNA	structural constituent of ribosome	translation	Similar to Aedes aegypti, UniProt identifier: XM_001651978	AAEL006511	Vector Base		
6/10/2015 12:12:39	Aedes albopictus	ubiquitin carboxyl-terminal hydrolase isozyme L5		mRNA	omega peptidase activity; ubiquitin-specific protease activity	ubiquitin-dependent protein catabolic process	Similar to Aedes aegypti, UniProt identifier: XM_001655018	AAEL010966	Vector Base		
6/10/2015 12:16:19	Aedes albopictus	vacuolar ATP synthase proteolipid subunit		mRNA	hydrogen ion transmembrane transporter activity	ATP hydrolysis coupled proton transport	Similar to Aedes aegypti, UniProt identifier: XM_001662206	AAEL012113	Vector Base		
6/13/2015 11:43:39	Aedes albopictus	Δ(9) desaturase	JO908589	mRNA	NaN	NaN					
4/28/2015 16:07:31	Agrius convolvuli	mitochondrial COX1 gene for cytochrome c oxidase subunit 1	LC049959	DNA	NaN	NaN					
6/16/2015 2:23:22	Allonemobius socius	Aldo-keto reductase family member		mRNA	NaN	NaN	Similar to Tribolium castaneum, UniProt identifier: XP_974785				
6/16/2015 2:17:45	Allonemobius socius	Arginine kinase		mRNA	NaN	NaN	Similar to Periplaneta americana, UniProt identifier: AAT77152				
6/16/2015 2:02:01	Allonemobius socius	ATP citrate lyase		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: EAT44342				
6/16/2015 2:15:10	Allonemobius socius	Bax-inhibitor 1-like protein		mRNA	NaN	NaN	Similar to Maconellicoccus hirsutus, UniProt identifier: ABM55570				
6/16/2015 2:00:12	Allonemobius socius	Cathepsin B-like protease		mRNA	NaN	NaN	Similar to Drosophila melanogaster, UniProt identifier: NP_572920				
6/16/2015 2:26:30	Allonemobius socius	CHORD containing protein		mRNA	NaN	NaN	Similar to Tribolium castaneum, UniProt identifier: XP_967567				
6/16/2015 2:16:12	Allonemobius socius	Cytochrome c oxidase subunit II		mRNA	NaN	NaN	Similar to Allomenobius socius, UniProt identifier: AAU11284				
6/16/2015 2:21:17	Allonemobius socius	Cytochrome c oxidase subunit IV		mRNA	NaN	NaN	Similar to Ixodes scapularis, UniProt identifier: AAY66918				
6/16/2015 2:34:08	Allonemobius socius	Cytochrome c oxidase VIIc		mRNA	NaN	NaN	Similar to Tribolium castaneum, UniProt identifier: XP_970390				
6/16/2015 2:06:46	Allonemobius socius	Cytochrome P450		mRNA	NaN	NaN	Similar to Blattella germanica, UniProt identifier: AAK57914				
6/16/2015 2:28:39	Allonemobius socius	DNA dependent RNA polymerase III		mRNA	NaN	NaN	Similar to Apis mellifera, UniProt identifier: XP_625037				
6/16/2015 1:57:11	Allonemobius socius	Endoplasmin (Hsp90 family member)		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: EAT34979				
6/16/2015 2:11:47	Allonemobius socius	Eukaryotic translation initiation factor 4 gamma		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: EAT40334				
6/16/2015 2:05:31	Allonemobius socius	Fatty acid desaturase		mRNA	NaN	NaN	Similar to Tribolium castaneum, UniProt identifier: XP_967943				
6/16/2015 2:20:12	Allonemobius socius	Glyoxalase CG1532-PA		mRNA	NaN	NaN	Similar to Apis mellifera, UniProt identifier: XP_625100				
6/16/2015 1:58:51	Allonemobius socius	Heat shock 70 family member		mRNA	NaN	NaN	Similar to Locusta migratoria, UniProt identifier: AAO21473				
6/16/2015 1:55:39	Allonemobius socius	Heat shock protein 90		mRNA	NaN	NaN	Similar to Locusta migratoria, UniProt identifier: AAS45246				
6/16/2015 2:09:35	Allonemobius socius	Histone2A		mRNA	NaN	NaN	Similar to Anopheles gambiae, UniProt identifier: XP_307083				
6/16/2015 2:25:38	Allonemobius socius	Hsp 20.7		mRNA	NaN	NaN	Similar to Locusta migratoria, UniProt identifier: ABC84494				
6/16/2015 2:12:59	Allonemobius socius	Interferon developmental regulator		mRNA	NaN	NaN	Similar to Apis mellifera, UniProt identifier: XP_392883				
6/16/2015 2:24:25	Allonemobius socius	Lipid storage protein CG32645-PB		mRNA	NaN	NaN	Similar to Tribolium castaneum, UniProt identifier: XP_969264				
6/16/2015 2:30:48	Allonemobius socius	Male sterility protein (acyl-CoA reductase)		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: EAT41033				
6/16/2015 2:22:14	Allonemobius socius	Mitochondrial processing peptidase		mRNA	NaN	NaN	Similar to Apis mellifera, UniProt identifier: XP_624556				
6/16/2015 2:34:59	Allonemobius socius	Mitochondrial ribosomal protein L45 (TIMM 44)		mRNA	NaN	NaN	Similar to Aedes aegypti, UniProt identifier: EAT35833				
6/16/2015 2:35:49	Allonemobius socius	Nedd8		mRNA	NaN	NaN	Similar to Tribolium castaneum, UniProt identifier: XP_972922				
6/16/2015 2:32:56	Allonemobius socius	Neimann-Pick type C-like		mRNA	NaN	NaN	Similar to Apis mellifera, UniProt identifier: XP_624310				
6/16/2015 2:29:39	Allonemobius socius	Pyrroline 5-carboyxlate reductase		mRNA	NaN	NaN	Similar to Tribolium castaneum, UniProt identifier: XP_974776				
6/16/2015 2:10:35	Allonemobius socius	RACK1		mRNA	NaN	NaN	Similar to Bombyx mori, UniProt identifier: NP_001041703				
6/16/2015 2:31:52	Allonemobius socius	Ribosomal protein L35Ae		mRNA	NaN	NaN	Similar to Carabus granulatus, UniProt identifier: CAJ17420				
6/16/2015 2:27:34	Allonemobius socius	RubV-like 2 (Reptin/TBP interacting protein)		mRNA	NaN	NaN	Similar to Apis mellifera, UniProt identifier: XP_001122537				
6/16/2015 2:14:04	Allonemobius socius	Spaghetti squash (myosin regulatory light chain)		mRNA	NaN	NaN	Similar to Apis mellifera, UniProt identifier: XP_623372				
6/16/2015 2:18:57	Allonemobius socius	Transcription factor Dp2 (E2F dimerization partner)		mRNA	NaN	NaN	Similar to Apis mellifera, UniProt identifier: XP_393377				
6/16/2015 2:04:10	Allonemobius socius	Translation elongation factor 1 gamma		mRNA	NaN	NaN	Similar to Locusta migratoria, UniProt identifier: AAL78751				
4/27/2015 16:29:36	Antheraea pernyi	diapause hormone-phermone biosynthesis activating neuropeptide	AAR17699	protein	NaN	neuropeptide signaling pathway; pheromone biosynthetic process					
4/27/2015 16:27:53	Antheraea pernyi	diapause hormone-phermone biosynthesis activating neuropeptide mRNA	AY445658	mRNA	NaN	neuropeptide signaling pathway; pheromone biosynthetic process					
4/27/2015 17:58:39	Antheraea yamamai	mRNA for cytochrome P450 CYP4G25	AB196795	mRNA	heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	NaN					
1/7/2015 16:13:02	Anthonomus grandis	agSP-1 arylphorin	AAN63347	protein	NaN	NaN					
3/16/2015 19:21:40	Anthonomus grandis	AgSP-1 arylphorin mRNA	AF512519	mRNA	NaN	NaN					
5/2/2015 18:41:24	Bactrocera minax	CL3214.Contig1 transcribed RNA sequence	GBIT01007665	mRNA	NaN	NaN					
5/2/2015 18:57:13	Bactrocera minax	CL3305.Contig1 transcribed RNA sequence	GBIT01007839	mRNA	NaN	NaN					
5/2/2015 18:55:55	Bactrocera minax	CL493.Contig2 transcribed RNA sequence	GBIT01001598	mRNA	NaN	NaN					
5/2/2015 18:46:15	Bactrocera minax	CL523.Contig2 transcribed RNA sequence	GBIT01001666	mRNA	NaN	NaN					
4/29/2015 12:11:58	Bactrocera minax	hsp23 mRNA	KJ541737	mRNA	NaN	NaN					
4/29/2015 12:16:30	Bactrocera minax	hsp70 mRNA	KJ541738	mRNA	ATP binding	NaN					
4/29/2015 12:14:43	Bactrocera minax	hsp90 mRNA	KJ541739	mRNA	ATP binding	protein folding; response to stress					
5/2/2015 18:36:27	Bactrocera minax	Unigene14891 transcribed RNA sequence	GBIT01023852	mRNA	NaN	NaN					
5/2/2015 18:48:38	Bactrocera minax	Unigene15293 transcribed RNA sequence	GBIT01024254	mRNA	NaN	NaN					
5/2/2015 19:00:58	Bactrocera minax	Unigene15829 transcribed RNA sequence	GBIT01024790	mRNA	NaN	NaN					
5/2/2015 18:38:09	Bactrocera minax	Unigene15888 transcribed RNA sequence	GBIT01024849	mRNA	NaN	NaN					
5/2/2015 18:59:37	Bactrocera minax	Unigene17845 transcribed RNA sequence	GBIT01026806	mRNA	NaN	NaN					
5/2/2015 18:50:04	Bactrocera minax	Unigene21913 transcribed RNA sequence	GBIT01030872	mRNA	NaN	NaN					
5/2/2015 19:06:15	Bactrocera minax	Unigene26502 transcribed RNA sequence	GBIT01035459	mRNA	NaN	NaN					
5/2/2015 18:34:30	Bactrocera minax	Unigene29307 transcribed RNA sequence	GBIT01038264	mRNA	NaN	NaN					
5/2/2015 18:43:12	Bactrocera minax	Unigene2931 transcribed RNA sequence	GBIT01011896	mRNA	NaN	NaN					
5/2/2015 18:44:50	Bactrocera minax	Unigene30050 transcribed RNA sequence	GBIT01039007	mRNA	NaN	NaN					
5/2/2015 18:39:37	Bactrocera minax	Unigene32073 transcribed RNA sequence	GBIT01041029	mRNA	NaN	NaN					
4/29/2015 15:15:36	Bombus terrestris	heat shock protein 90 (hsp90) mRNA	EU124769	mRNA	ATP binding	protein folding; response to stress					
4/29/2015 15:11:59	Bombus terrestris	heat shock protein cognate 70 (hsc70) mRNA	EU124768	mRNA	ATP binding	NaN					
4/29/2015 15:17:59	Bombus terrestris	small heat shock protein (shsp) mRNA	EU124767	mRNA	NaN	NaN					
3/21/2015 20:20:18	Bombyx mori	14-3-3 epsilon protein	NP_001091764 	protein	monooxygenase activity; protein domain specific binding	oxidation-reduction process					Nikola Krivokuca
1/9/2015 22:20:12	Bombyx mori	14-3-3 epsilon protein (Ywhae) mRNA	NM_001098294	mRNA	monooxygenase activity	NaN					Nikola Krivokuca
3/15/2015 10:08:05	Bombyx mori	19G1 gene for 30K protein	X54736	DNA	NaN	NaN	GO - Cellular component - extracellular region				Nikola Krivokuca
3/18/2015 10:52:03	Bombyx mori	26S proteasome regulatory ATPase subunit 10B	NP_001040484	protein	ATP binding; hydrolase activity	protein catabolic process					Nikola Krivokuca
3/23/2015 8:25:04	Bombyx mori	27 kDa glycoprotein precursor	NP_001036878	protein	NaN	NaN	GO - Cellular component - extracellular region				Nikola Krivokuca
3/18/2015 10:49:30	Bombyx mori	40S ribosomal protein S28	NP_001037680 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/23/2015 20:33:17	Bombyx mori	40S ribosomal protein SA	NP_001106143	protein	structural constituent of ribosome	ribosomal small subunit assembly; translation					Nikola Krivokuca
3/18/2015 10:33:26	Bombyx mori	60S ribosomal protein L17	NP_001037165 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:34:23	Bombyx mori	60S ribosomal protein L18	NP_001037217 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:37:54	Bombyx mori	60S ribosomal protein L38	NP_001037554 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/15/2015 10:15:49	Bombyx mori	6G1 gene for 30K major plasma protein	X54735	DNA	NaN	NaN	GO - Cellular component - extracellular region				Nikola Krivokuca
3/21/2015 20:23:31	Bombyx mori	actin, cytoplasmic A4	NP_001119727	protein	ATP binding	NaN	GO Cellular localization - cytoskeleton				Nikola Krivokuca
6/13/2015 20:08:22	Bombyx mori	acyl CoA desaturase (ACD) mRNA	AF157627	mRNA	iron ion binding; stearoyl-CoA 9-desaturase activity	fatty acid biosynthetic process					
3/21/2015 20:24:38	Bombyx mori	acyl-CoA binding protein	NP_001037022	protein	fatty-acyl-CoA binding	NaN					Nikola Krivokuca
1/7/2015 22:13:29	Bombyx mori	acyl-CoA desaturase (Desat3) mRNA	NM_001043553	mRNA	iron ion binding; stearoyl-CoA 9-desaturase activity	fatty acid biosynthetic process					Nikola Krivokuca
1/8/2015 23:35:38	Bombyx mori	adenosine deaminase related growth factor (Adgf) mRNA	NM_001105228	mRNA	deaminase activity	NaN					Nikola Krivokuca
3/30/2015 14:43:39	Bombyx mori	adenylate kinase 2 (adk2) mRNA	NM_001171916	mRNA	adenylate kinase activity; ATP binding	ADP biosynthetic process; AMP metabolic process; ATP metabolic process					
